LSOA_Code,LSOA_Name,Borough,Crime_Rate,log_crime_rate,Job_Density,log_job_density,Total_Crime_Count,Population,Total_Employed,Pop_Density,pct_private_rented,pct_overcrowded,pct_new_migrant,pct_christian,pct_muslim,pct_hindu,pct_jewish,pct_sikh,pct_buddhist,pct_no_religion,pct_male,pct_unemployed,pct_disabled,pct_bad_health,pct_no_qual,pct_level4_qual,pct_16_19,pct_20_24,pct_deprived,pct_born_europe,pct_born_africa,pct_born_asia,pct_born_americas,pct_elementary_occup,pct_hh_with_disabled,Area_sq_km,log_pop_density
E01000006,Barking and Dagenham 016A,E09000002,50.948509485094846,3.950253025797633,6030.029918699187,8.704523834878716,94,1845,884,12585.3,46.5,24.1,9.8,37.2,39.1,5.7,0.1,3.6,0.7,7,51.1,4.6,4.8,3.4,20.6,35,5.3,6.7,13.4,71.3,4.6,22.3,1.6,18.2,26,0.14659960430025507,9.440284745187563
E01000007,Barking and Dagenham 015A,E09000002,174.34662998624484,5.166764757617614,6915,8.841462705310274,507,2908,1383,14540,35,19.5,21.2,38.1,37.7,4.1,0,1,0.4,12.6,49.8,8.4,4,3.4,16.8,48.5,3.9,6.4,14,62.7,15.3,20.4,1.5,14.8,19.2,0.2,9.58465875108751
E01000008,Barking and Dagenham 015B,E09000002,124.79108635097492,4.834622486040335,3347.109526462396,8.115882300525445,224,1795,648,9271.7,26.8,27.3,9.5,47.2,34.7,2.1,0,1.3,0.1,10,47.2,6.6,4.4,4.3,20.8,31.9,8.3,6.6,25.3,64.7,20.2,14,0.9,21.2,33.7,0.19359987920230376,9.134722029017277
E01000009,Barking and Dagenham 016B,E09000002,165.18847006651885,5.113122506167211,6121.983592017738,8.719657773776355,298,1804,783,14104.8,46.8,25.1,11.8,30.6,39.4,7.5,0.1,5.2,0.5,9.3,52.6,6.7,6.1,5,25,33.8,3.9,6.4,21,63.3,6.8,28.4,1.4,20.4,28,0.12789972208042652,9.55427044396655
E01000011,Barking and Dagenham 016C,E09000002,65.25573192239858,4.193521980707103,8047.974603174603,8.993188162074713,111,1701,738,18549.6,52.2,23.5,10.8,33,47.9,4.1,0.1,4.6,0.2,5.5,53.6,6.1000000000000005,5.5,4.3,25.4,32.2,6.2,6.9,18.2,63.2,5.8,29.5,1.5,20.5,25.6,0.0917000905679907,9.82820350446077
E01000012,Barking and Dagenham 015D,E09000002,60.50276949296975,4.119082206204556,6426.151214316148,8.768146632331556,142,2347,903,16702.3,42.5,27.8,14.5,37.5,36.7,4.4,0.1,1.6,0,13.7,49.1,8.5,4.4,3.5999999999999996,19.6,39,4.8,5.7,23.8,64.9,14.7,18.5,1.9,21,26.1,0.1405195691611335,9.723301713472589
E01000013,Barking and Dagenham 013A,E09000002,140.03206841261357,4.948987300069075,3849.834313201496,8.255811365630176,262,1871,800,9003.8,27.9,17,6.8,50.3,14.5,0.8,0.2,0.4,0.6,26,48.2,6.5,6.8,5.9,25.4,27.7,5,6,21.4,79.8,9.4,9.9,0.9,15.8,33.3,0.20780115062529156,9.105401989429858
E01000014,Barking and Dagenham 013B,E09000002,55.96801827527127,4.042490027478664,2335.8790976584805,7.756186395987914,98,1751,797,5131.9,20.3,15.6,7.1,50.5,15.7,1.5,0.2,0.1,0.2,25,48.9,5.2,7,4.6000000000000005,25.8,29,5.3,5.7,19.5,81.6,8.5,8.9,1.1,18,30.9,0.3411991660008964,8.54323123996501
E01000015,Barking and Dagenham 009A,E09000002,62.448304383788255,4.150225470143554,3788.2893300248143,8.23969622886208,151,2418,1063,8617.2,26.4,20.7,7.3,49.5,15.9,1.3,0,0.2,0.5,26.5,46.8,5.9,5,4,22.6,32,5,6.2,17.8,81,9.4,8.2,1.4,17.6,26,0.28060158752262915,9.061515484904271
E01000016,Barking and Dagenham 009B,E09000002,54.02485143165856,4.007784927393589,4331.002106969206,8.373577316778144,100,1851,861,9310.9,17.7,16.2,7.5,55.1,14,1,0.1,0.5,0.2,23.1,47,4.3,6,4.7,22.3,31.2,5.8,6,16.3,79.8,10,8.1,1.9,16.8,27.4,0.1987992567850584,9.138941035845892
E01000017,Barking and Dagenham 009C,E09000002,65.04065040650407,4.190270467678537,4741.156329849013,8.464057428061329,112,1722,751,10871.2,17.4,16.4,6.7,50.8,17.5,2.3,0.1,0.6,0.1,21.5,47.9,6.5,8,6.5,25.2,29.8,4.8,6.7,23.2,77.2,10.5,11,1.1,16.1,36.2,0.15840017661343733,9.293872369606287
E01000018,Barking and Dagenham 009D,E09000002,62.5,4.151039905898646,4795.875675675676,8.47553244434048,111,1776,834,10212.8,19.1,14.700000000000001,7.6,49.8,15.2,1.8,0.1,0.5,0.1,27.3,48.9,5.4,7.3,5.8,24.8,31,5.4,6.2,17.9,81.3,11.1,7,0.6,18.1,29.8,0.17389942033526556,9.231397114501792
E01000019,Barking and Dagenham 023A,E09000002,51.901025950512974,3.9684227328257733,3777.3093542546767,8.236793697632555,86,1657,692,9044.8,28.7,19.799999999999997,5.7,43.3,27.2,2.4,0.1,4.6,0.8,14.9,50.6,4.7,6.8,4.8,23.7,31.3,5.1,5,19.8,74.5,6.8,17.7,1,18,32.3,0.18319918627277554,9.109945285921027
E01000020,Barking and Dagenham 023B,E09000002,38.33865814696485,3.672207703252718,4764.973619351895,8.469068265990336,84,2191,892,11704.1,22.4,18.4,7.6,45.6,26.9,2.6,0.1,2.3,0.2,16.3,48.1,7,8.3,8.200000000000001,26.6,28.9,5.6,6.7,20.7,75.4,11.2,11.7,1.8,18.6,36.6,0.1871993574901103,9.36769448675095
E01000021,Barking and Dagenham 008A,E09000002,71.47076196101594,4.283183197223719,4027.055522740697,8.300815580105894,121,1693,685,9953,36.7,17.1,10.3,40.3,28.2,3.3,0.4,3.3,0.7,18.9,49.4,5.5,7.9,5.5,23.9,29.7,5.4,6.1,21.7,74.6,7.7,15.7,1.8,15.2,32.3,0.170099467497237,9.205629292246064
E01000022,Barking and Dagenham 008B,E09000002,50.10155721056195,3.9338149705332475,4972.72836831415,8.51174404541338,74,1477,638,11512.1,22.1,16.7,6.3,47.3,23.6,3,0,2.2,0.1,17.9,48.4,5.4,6.1,5.1000000000000005,22.8,32,5.4,5.5,18.8,76.3,9.7,11.9,1.9,14.9,29.1,0.1282997889177474,9.351153935117384
E01000024,Barking and Dagenham 008D,E09000002,38.38383838383838,3.6733555388480075,4875.568888888888,8.492012581997002,57,1485,627,11547.4,18.7,18.9,8.4,44.9,24.8,1.3,0.1,3.1,0.2,19.8,49.8,7.3,7.5,5.1,23.7,30.1,6.8,6.1,24,75.3,10.5,12.6,1.5,16.9,36.1,0.12860037757417256,9.354215582384171
E01000025,Barking and Dagenham 008E,E09000002,59.895833333333336,4.109164754203355,5456.324531249999,8.604549006476097,115,1920,837,12516.3,18.4,17,5.5,46.7,20.9,2.3,0.1,1.9,0.5,21.1,51.6,5.1,6,5.6000000000000005,28.2,31.1,5.4,5.5,19.2,78.9,8.2,11.9,1,18.6,30.8,0.15339996644375736,9.434787073820784
E01000027,Barking and Dagenham 001A,E09000002,78.29010566762729,4.373113349956232,543.9116234390009,6.29897061324349,163,2082,802,1412,13.9,17.2,7.2,45.6,13.3,2.8,0.2,1.7,0.1,30.6,46.3,6.9,9.7,6.8,25.6,25.5,5.9,5.8,25.1,84.8,5.9,7.6,1.4,13.7,36.7,1.4745042492917848,7.252762418053187
E01000028,Barking and Dagenham 001B,E09000002,70.99614749587231,4.276612610582731,4777.4668134287285,8.471686661035735,129,1817,687,12635.6,17.1,17.9,6.8,48.2,24,2.2,0.4,1.9,0.2,18.2,46.3,5.7,8.5,6.3,24.4,32.8,7.9,4.8,24,75.2,11.6,11.2,1.9,19.2,33.5,0.14380005698186077,9.444273505833715
E01000029,Barking and Dagenham 001C,E09000002,56.074766355140184,4.044362098761228,3008.963056624519,8.009384032417291,102,1819,773,7080.6,16.7,8,8.3,47,24.5,7.5,0.6,4.5,0.8,9.8,50.2,3.8,6.9,5.1,23.7,31.8,4.9,5.3,17.9,73.5,6.2,16.9,3.1,12,30.1,0.25689913284184956,8.865113928859758
E01000030,Barking and Dagenham 001D,E09000002,90.9090909090909,4.520799946222101,3411.3043308622705,8.13487931273234,233,2563,977,8949,11.6,20.9,4.8,47.5,17.7,1.4,0.3,0.7,0.3,26.2,46.7,6.9,7.1,5.800000000000001,22.4,33.4,5.3,4.1,19.4,78,12,8,1.9,14.6,34.9,0.28640071516370547,9.099297073182859
E01000031,Barking and Dagenham 002A,E09000002,81.92090395480226,4.417887189037369,934.2919774011299,6.839896026207834,145,1770,788,2098.6,23.5,9.7,7.9,37.1,32,5.6,0.1,7.5,0,11.5,48.9,5.300000000000001,5.5,4.7,20.4,35.6,5.1,7.4,17,72.8,5.9,19,2.3,10.1,28.700000000000003,0.8434194224721243,7.649025734723811
E01000032,Barking and Dagenham 002B,E09000002,105.87102983638114,4.671622778837163,2340.8979788257943,7.758332604109843,220,2078,879,5534,33.5,13.9,9.1,38.3,27.3,4.6,0.1,5.1,0.9,16.7,49.5,5.800000000000001,6.7,5.199999999999999,23.1,31.3,4.5,5.8,19.1,75.7,5.4,17.1,1.6,13.9,31,0.3754969280809541,8.618666160346871
E01000033,Barking and Dagenham 006A,E09000002,66.1049902786779,4.20625841198243,4060.5612443292284,8.309101107395602,102,1543,590,10619.4,12.1,14.200000000000001,4.5,47.4,11.5,1.3,0.2,0,0.2,33.7,47.9,4.4,8.1,7.199999999999999,27.8,26.6,5,4.9,22.6,82.6,10.9,5.2,1.3,19.2,36.8,0.14530011111738894,9.270437796024764
E01000034,Barking and Dagenham 003A,E09000002,71.11111111111111,4.27820813936787,1273.3691428571428,7.149500063939182,112,1575,654,3066.6,14.9,11.3,5.7,53.1,12.1,1.5,0.2,0.2,0.3,25.5,47.6,5,10.2,6.7,27.9,28.8,5.5,5.5,21.1,83.6,9.4,6,1,14.5,38.1,0.5135981216982978,8.02832473500229
